Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.297563651
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1066747.356
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,20.01420595
Afghanistan,AFG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.41704109
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.908529093
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.749462457
Albania,ALB,"Air transport, passengers carried",IS.AIR.PSGR,307741
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Albania,ALB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.63878032
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.426007367
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.994401828
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,6752002
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,25.641745
Algeria,DZA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,32.83308539
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.839444886
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
American Samoa,ASM,"Air transport, passengers carried",IS.AIR.PSGR,..
American Samoa,ASM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
American Samoa,ASM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.300155035
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-2.304138699
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.287203804
Andorra,AND,"Air transport, passengers carried",IS.AIR.PSGR,..
Andorra,AND,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Andorra,AND,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.066401367
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.757491257
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.753638205
Angola,AGO,"Air transport, passengers carried",IS.AIR.PSGR,1436959
Angola,AGO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,68.04358
Angola,AGO,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.4208104
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.395277792
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.525581597
Antigua and Barbuda,ATG,"Air transport, passengers carried",IS.AIR.PSGR,526333.9951
Antigua and Barbuda,ATG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.180927311
Antigua and Barbuda,ATG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.59200058
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.534443401
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.742029812
Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,19461377
Argentina,ARG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,280.283172
Argentina,ARG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,13.51118918
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.993397493
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.196552367
Armenia,ARM,"Air transport, passengers carried",IS.AIR.PSGR,193668
Armenia,ARM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.3265
Armenia,ARM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.65637939
Armenia,ARM,Population growth (annual %),SP.POP.GROW,-0.564065543
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Aruba,ABW,"Air transport, passengers carried",IS.AIR.PSGR,..
Aruba,ABW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.451969659
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.59904536
Australia,AUS,"Air transport, passengers carried",IS.AIR.PSGR,76850596.72
Australia,AUS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1931.155531
Australia,AUS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,6.745497859
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.477490711
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.263331201
Austria,AUT,"Air transport, passengers carried",IS.AIR.PSGR,46476602
Austria,AUT,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,320.036527
Austria,AUT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.16821803
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.444673639
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.54349533
Azerbaijan,AZE,"Air transport, passengers carried",IS.AIR.PSGR,2585280
Azerbaijan,AZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1620.43791
Azerbaijan,AZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.4950546
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.846646726
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.482893634
"Bahamas, The",BHS,"Air transport, passengers carried",IS.AIR.PSGR,1856546
"Bahamas, The",BHS,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
"Bahamas, The",BHS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.59065792
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.657441085
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,22.06335481
Bahrain,BHR,"Air transport, passengers carried",IS.AIR.PSGR,6440562
Bahrain,BHR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,311.15413
Bahrain,BHR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.21710593
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,0.459362585
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.559733656
Bangladesh,BGD,"Air transport, passengers carried",IS.AIR.PSGR,6260241
Bangladesh,BGD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,168.6607136
Bangladesh,BGD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,63.4255285
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.11317249
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.166143194
Barbados,BRB,"Air transport, passengers carried",IS.AIR.PSGR,..
Barbados,BRB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Barbados,BRB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.34389367
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.175755759
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.12342695
Belarus,BLR,"Air transport, passengers carried",IS.AIR.PSGR,3208254
Belarus,BLR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,2.8839
Belarus,BLR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.42351285
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.201786601
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.093790746
Belgium,BEL,"Air transport, passengers carried",IS.AIR.PSGR,14279187
Belgium,BEL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1353.426977
Belgium,BEL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,12.6724532
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.540461327
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.89208291
Belize,BLZ,"Air transport, passengers carried",IS.AIR.PSGR,1278187.556
Belize,BLZ,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Belize,BLZ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.17639652
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.823016119
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.608236773
Benin,BEN,"Air transport, passengers carried",IS.AIR.PSGR,..
Benin,BEN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Benin,BEN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.8584555
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.887074085
Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bermuda,BMU,"Air transport, passengers carried",IS.AIR.PSGR,..
Bermuda,BMU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Bermuda,BMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.069562328
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.010952131
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.867200723
Bhutan,BTN,"Air transport, passengers carried",IS.AIR.PSGR,276092
Bhutan,BTN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.318844
Bhutan,BTN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,40.29859817
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,0.701252584
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.853461506
Bolivia,BOL,"Air transport, passengers carried",IS.AIR.PSGR,4066959
Bolivia,BOL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,22.980404
Bolivia,BOL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.83286559
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.457504391
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.285663956
Bosnia and Herzegovina,BIH,"Air transport, passengers carried",IS.AIR.PSGR,5375
Bosnia and Herzegovina,BIH,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0
Bosnia and Herzegovina,BIH,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,29.46633319
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-1.166081335
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.879663256
Botswana,BWA,"Air transport, passengers carried",IS.AIR.PSGR,254439
Botswana,BWA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.675495
Botswana,BWA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.71873626
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.950856348
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.050770129
Brazil,BRA,"Air transport, passengers carried",IS.AIR.PSGR,102917546
Brazil,BRA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1521.14944
Brazil,BRA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,11.65399121
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.766107802
British Virgin Islands,VGB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
British Virgin Islands,VGB,"Air transport, passengers carried",IS.AIR.PSGR,..
British Virgin Islands,VGB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
British Virgin Islands,VGB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,0.902459156
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,16.11193294
Brunei Darussalam,BRN,"Air transport, passengers carried",IS.AIR.PSGR,1421313
Brunei Darussalam,BRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,122.45694
Brunei Darussalam,BRN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.680643971
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,0.865282212
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.613710103
Bulgaria,BGR,"Air transport, passengers carried",IS.AIR.PSGR,832828
Bulgaria,BGR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1.257
Bulgaria,BGR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,19.36594583
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.703905641
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.269501589
Burkina Faso,BFA,"Air transport, passengers carried",IS.AIR.PSGR,185841
Burkina Faso,BFA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.04808
Burkina Faso,BFA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,53.67033962
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.703875567
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.059571339
Burundi,BDI,"Air transport, passengers carried",IS.AIR.PSGR,..
Burundi,BDI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Burundi,BDI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,33.27977863
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.26424857
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.069615098
Cabo Verde,CPV,"Air transport, passengers carried",IS.AIR.PSGR,675482
Cabo Verde,CPV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.049965
Cabo Verde,CPV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,51.11721004
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.01513458
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.116330426
Cambodia,KHM,"Air transport, passengers carried",IS.AIR.PSGR,1429503.73
Cambodia,KHM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.68860716
Cambodia,KHM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.1120864
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.132442162
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.370691707
Cameroon,CMR,"Air transport, passengers carried",IS.AIR.PSGR,83882
Cameroon,CMR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.031566
Cameroon,CMR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,64.47088106
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.774879781
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.05274694
Canada,CAN,"Air transport, passengers carried",IS.AIR.PSGR,93352000
Canada,CAN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,3109.043058
Canada,CAN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,7.100156005
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.436136823
Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cayman Islands,CYM,"Air transport, passengers carried",IS.AIR.PSGR,..
Cayman Islands,CYM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Cayman Islands,CYM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.908192659
Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.045188205
Central African Republic,CAF,"Air transport, passengers carried",IS.AIR.PSGR,..
Central African Republic,CAF,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Central African Republic,CAF,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,46.3767539
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,2.223361071
Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.098196389
Chad,TCD,"Air transport, passengers carried",IS.AIR.PSGR,..
Chad,TCD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Chad,TCD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,59.2825236
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.294582728
Channel Islands,CHI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Channel Islands,CHI,"Air transport, passengers carried",IS.AIR.PSGR,..
Channel Islands,CHI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Channel Islands,CHI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,1.277830313
Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.827620075
Chile,CHL,"Air transport, passengers carried",IS.AIR.PSGR,21197759
Chile,CHL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1232.41109
Chile,CHL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.76585719
Chile,CHL,Population growth (annual %),SP.POP.GROW,1.791391972
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.645435786
China,CHN,"Air transport, passengers carried",IS.AIR.PSGR,659629070
China,CHN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,25394.5878
China,CHN,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,47.67263439
China,CHN,Population growth (annual %),SP.POP.GROW,0.35474089
Colombia,COL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.577820141
Colombia,COL,"Air transport, passengers carried",IS.AIR.PSGR,37031843
Colombia,COL,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,1547.674684
Colombia,COL,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,22.01072747
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.830746942
Comoros,COM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.41239668
Comoros,COM,"Air transport, passengers carried",IS.AIR.PSGR,..
Comoros,COM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Comoros,COM,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.15567571
Comoros,COM,Population growth (annual %),SP.POP.GROW,1.872447912
"Congo, Dem. Rep.",COD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.03371488
"Congo, Dem. Rep.",COD,"Air transport, passengers carried",IS.AIR.PSGR,550457.8926
"Congo, Dem. Rep.",COD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.7512
"Congo, Dem. Rep.",COD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,35.86088793
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.186288389
"Congo, Rep.",COG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.257662142
"Congo, Rep.",COG,"Air transport, passengers carried",IS.AIR.PSGR,541787.1369
"Congo, Rep.",COG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,4.151108743
"Congo, Rep.",COG,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,39.30341272
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.355238072
Costa Rica,CRI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.564824452
Costa Rica,CRI,"Air transport, passengers carried",IS.AIR.PSGR,2033146
Costa Rica,CRI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,10.8
Costa Rica,CRI,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.42174135
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.865128347
Cote d'Ivoire,CIV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.414528305
Cote d'Ivoire,CIV,"Air transport, passengers carried",IS.AIR.PSGR,748540
Cote d'Ivoire,CIV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,9.166862
Cote d'Ivoire,CIV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,55.62337378
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.531287446
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.064519478
Croatia,HRV,"Air transport, passengers carried",IS.AIR.PSGR,2108591
Croatia,HRV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.4406
Croatia,HRV,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,18.46495986
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-0.554146739
Cuba,CUB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.157740903
Cuba,CUB,"Air transport, passengers carried",IS.AIR.PSGR,457130
Cuba,CUB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,13.708525
Cuba,CUB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,17.72659724
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.101983052
Curacao,CUW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Curacao,CUW,"Air transport, passengers carried",IS.AIR.PSGR,..
Curacao,CUW,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Curacao,CUW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,..
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-1.196439518
Cyprus,CYP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.851879339
Cyprus,CYP,"Air transport, passengers carried",IS.AIR.PSGR,395436
Cyprus,CYP,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0.14
Cyprus,CYP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.57380293
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.81751772
Czechia,CZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.156117906
Czechia,CZE,"Air transport, passengers carried",IS.AIR.PSGR,5446163.2
Czechia,CZE,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,22.73254
Czechia,CZE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.75140093
Czechia,CZE,Population growth (annual %),SP.POP.GROW,0.393788864
Denmark,DNK,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.107386426
Denmark,DNK,"Air transport, passengers carried",IS.AIR.PSGR,..
Denmark,DNK,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,..
Denmark,DNK,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,9.785959755
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.358130916
Djibouti,DJI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.398763866
Djibouti,DJI,"Air transport, passengers carried",IS.AIR.PSGR,..
